TOTAL_RESPONSE_TIME,CREATE_BUFFER,WRITE_BUFFER,CREATE_KERNEL_ARGS,CREATE_KERNEL,LAUNCH_KERNEL,READ_BUFFER,KERNEL_EXECUTION_TIME
0.003433,0.000005,0.000725,0.000002,0.000052,0.002067,0.000563,0.001813
0.003358,0.000004,0.000694,0.000001,0.000050,0.002044,0.000547,0.001825
0.003362,0.000004,0.000722,0.000001,0.000048,0.002023,0.000546,0.001811
0.003374,0.000005,0.000696,0.000001,0.000047,0.002060,0.000550,0.001829
0.003367,0.000004,0.000694,0.000001,0.000044,0.002012,0.000594,0.001814
0.003395,0.000004,0.000723,0.000001,0.000049,0.002044,0.000553,0.001825
0.003411,0.000004,0.000718,0.000001,0.000048,0.002032,0.000587,0.001821
0.003398,0.000004,0.000722,0.000001,0.000051,0.002049,0.000550,0.001826
0.003411,0.000004,0.000713,0.000001,0.000049,0.002037,0.000583,0.001815
0.003331,0.000005,0.000692,0.000002,0.000049,0.002032,0.000537,0.001820
0.003337,0.000004,0.000687,0.000002,0.000044,0.002028,0.000558,0.001826
0.003307,0.000003,0.000703,0.000001,0.000035,0.002013,0.000539,0.001813
0.003405,0.000003,0.000814,0.000001,0.000035,0.002019,0.000521,0.001819
0.003271,0.000003,0.000677,0.000001,0.000030,0.002020,0.000530,0.001820
0.003305,0.000003,0.000687,0.000001,0.000027,0.002013,0.000564,0.001822
0.003268,0.000003,0.000683,0.000001,0.000029,0.002015,0.000527,0.001826
0.003306,0.000003,0.000685,0.000001,0.000029,0.002024,0.000554,0.001831
0.003301,0.000003,0.000735,0.000001,0.000026,0.002004,0.000522,0.001818
0.003294,0.000003,0.000720,0.000001,0.000027,0.002012,0.000522,0.001824
0.003279,0.000003,0.000694,0.000001,0.000028,0.002017,0.000529,0.001827
0.003254,0.000002,0.000688,0.000001,0.000027,0.001997,0.000528,0.001811
0.003241,0.000003,0.000675,0.000001,0.000027,0.001999,0.000526,0.001808
0.003279,0.000003,0.000697,0.000001,0.000028,0.002017,0.000523,0.001819
0.003286,0.000003,0.000702,0.000001,0.000026,0.002014,0.000530,0.001822
0.003359,0.000003,0.000728,0.000001,0.000045,0.002024,0.000541,0.001829
0.003335,0.000004,0.000709,0.000002,0.000044,0.002019,0.000541,0.001812
0.003378,0.000006,0.000739,0.000002,0.000044,0.002034,0.000536,0.001821
0.003336,0.000005,0.000684,0.000002,0.000041,0.002014,0.000577,0.001816
0.003373,0.000003,0.000693,0.000001,0.000039,0.002035,0.000582,0.001835
0.003396,0.000005,0.000732,0.000001,0.000049,0.002035,0.000555,0.001821
0.003457,0.000004,0.000762,0.000002,0.000048,0.002036,0.000582,0.001818
